Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Domain,Domain Category,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE  -  <b>VALUE</b>","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE  -  <b>CV (%)</b>"
SURVEY,2022.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,172.30,
SURVEY,2021.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,176.70,
SURVEY,2020.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,171.40,
SURVEY,2019.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,167.50,
SURVEY,2018.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,176.40,
SURVEY,2017.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,176.60,
SURVEY,2016.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,174.60,
SURVEY,2015.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,168.40,
SURVEY,2014.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,171.00,
SURVEY,2013.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,158.10,
SURVEY,2012.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,123.10,
SURVEY,2011.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,146.80,
SURVEY,2010.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,152.60,
SURVEY,2009.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,164.40,
SURVEY,2008.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,153.30,
SURVEY,2007.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,150.70,
SURVEY,2006.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,149.10,
SURVEY,2005.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,147.90,
SURVEY,2004.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,160.30,
SURVEY,2003.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,142.20,
SURVEY,2002.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,129.30,
SURVEY,2001.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,138.20,
SURVEY,2000.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,136.90,
SURVEY,1999.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,133.80,
SURVEY,1998.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,134.40,
SURVEY,1997.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,126.70,
SURVEY,1996.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,127.10,
SURVEY,1995.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,113.50,
SURVEY,1994.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,138.60,
SURVEY,1993.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,100.70,
SURVEY,1992.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,131.50,
SURVEY,1991.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,108.60,
SURVEY,1990.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,118.50,
SURVEY,1989.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,116.30,
SURVEY,1988.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,84.60,
SURVEY,1987.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,119.80,
SURVEY,1986.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,119.40,
SURVEY,1985.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,118.00,
SURVEY,1984.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,106.70,
SURVEY,1983.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,81.10,
SURVEY,1982.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,113.20,
SURVEY,1981.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,108.90,
SURVEY,1980.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,91.00,
SURVEY,1979.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,109.50,
SURVEY,1978.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,101.00,
SURVEY,1977.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,90.80,
SURVEY,1976.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,88.00,
SURVEY,1975.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,86.40,
SURVEY,1974.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,71.90,
SURVEY,1973.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,91.30,
SURVEY,1972.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,97.00,
SURVEY,1971.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,88.10,
SURVEY,1970.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,72.40,
SURVEY,1969.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,85.90,
SURVEY,1968.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,79.50,
SURVEY,1967.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,80.10,
SURVEY,1966.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,73.10,
SURVEY,1965.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,74.10,
SURVEY,1964.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,62.90,
SURVEY,1963.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,67.90,
SURVEY,1962.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,64.70,
SURVEY,1961.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,62.40,
SURVEY,1960.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,54.70,
SURVEY,1959.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,53.10,
SURVEY,1958.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,52.80,
SURVEY,1957.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,48.30,
SURVEY,1956.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,47.40,
SURVEY,1955.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,42.00,
SURVEY,1954.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,39.40,
SURVEY,1953.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,40.70,
SURVEY,1952.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,41.80,
SURVEY,1951.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,36.90,
SURVEY,1950.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,38.20,
SURVEY,1949.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,38.20,
SURVEY,1948.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,43.00,
SURVEY,1947.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,28.60,
SURVEY,1946.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,37.20,
SURVEY,1945.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,33.10,
SURVEY,1944.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,33.00,
SURVEY,1943.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,32.60,
SURVEY,1942.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,35.40,
SURVEY,1941.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,31.20,
SURVEY,1940.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,28.90,
SURVEY,1939.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,29.90,
SURVEY,1938.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,27.80,
SURVEY,1937.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,28.90,
SURVEY,1936.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,18.60,
SURVEY,1935.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,24.20,
SURVEY,1934.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,18.70,
SURVEY,1933.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,22.80,
SURVEY,1932.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,26.50,
SURVEY,1931.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,24.50,
SURVEY,1930.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,20.50,
SURVEY,1929.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,25.70,
SURVEY,1928.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,26.30,
SURVEY,1927.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,26.40,
SURVEY,1926.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,25.70,
SURVEY,1925.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,27.40,
SURVEY,1924.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,22.10,
SURVEY,1923.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,27.80,
SURVEY,1922.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,26.30,
SURVEY,1921.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,27.80,
SURVEY,1920.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,29.90,
SURVEY,1919.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,26.80,
SURVEY,1918.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,23.90,
SURVEY,1917.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,26.20,
SURVEY,1916.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,24.10,
SURVEY,1915.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,28.10,
SURVEY,1914.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,25.80,
SURVEY,1913.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,22.70,
SURVEY,1912.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,29.10,
SURVEY,1911.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,24.40,
SURVEY,1910.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,27.90,
SURVEY,1909.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,26.10,
SURVEY,1908.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,26.90,
SURVEY,1907.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,27.20,
SURVEY,1906.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,31.70,
SURVEY,1905.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,30.90,
SURVEY,1904.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,28.20,
SURVEY,1903.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,26.90,
SURVEY,1902.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,28.50,
SURVEY,1901.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,18.20,
SURVEY,1900.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,28.10,
SURVEY,1899.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,28.00,
SURVEY,1898.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,26.80,
SURVEY,1897.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,25.40,
SURVEY,1896.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,30.00,
SURVEY,1895.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,28.00,
SURVEY,1894.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,20.20,
SURVEY,1893.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,23.80,
SURVEY,1892.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,24.70,
SURVEY,1891.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,29.60,
SURVEY,1890.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,22.10,
SURVEY,1889.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,29.50,
SURVEY,1888.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,29.10,
SURVEY,1887.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,21.90,
SURVEY,1886.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,24.10,
SURVEY,1885.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,28.60,
SURVEY,1884.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,28.30,
SURVEY,1883.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,24.20,
SURVEY,1882.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,26.50,
SURVEY,1881.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,19.80,
SURVEY,1880.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,27.30,
SURVEY,1879.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,28.20,
SURVEY,1878.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,26.20,
SURVEY,1877.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,25.80,
SURVEY,1876.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,26.70,
SURVEY,1875.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,27.70,
SURVEY,1874.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,22.20,
SURVEY,1873.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,22.90,
SURVEY,1872.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,29.40,
SURVEY,1871.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,27.20,
SURVEY,1870.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,29.30,
SURVEY,1869.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,21.80,
SURVEY,1868.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,26.20,
SURVEY,1867.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,24.70,
SURVEY,1866.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,24.30,
