Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Domain,Domain Category,"WHEAT - YIELD, MEASURED IN BU / ACRE  -  <b>VALUE</b>","WHEAT - YIELD, MEASURED IN BU / ACRE  -  <b>CV (%)</b>"
SURVEY,2022.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,46.50,
SURVEY,2021.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,44.30,
SURVEY,2020.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,49.70,
SURVEY,2019.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,51.70,
SURVEY,2018.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,47.60,
SURVEY,2017.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,46.40,
SURVEY,2016.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,52.70,
SURVEY,2015.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,43.60,
SURVEY,2014.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,43.70,
SURVEY,2013.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,47.10,
SURVEY,2012.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,46.20,
SURVEY,2011.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,43.60,
SURVEY,2010.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,46.10,
SURVEY,2009.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,44.30,
SURVEY,2008.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,44.80,
SURVEY,2007.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,40.20,
SURVEY,2006.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,38.60,
SURVEY,2005.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,42.00,
SURVEY,2004.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,43.20,
SURVEY,2003.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,44.20,
SURVEY,2002.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,35.00,
SURVEY,2001.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,40.20,
SURVEY,2000.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,42.00,
SURVEY,1999.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,42.70,
SURVEY,1998.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,43.20,
SURVEY,1997.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,39.50,
SURVEY,1996.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,36.30,
SURVEY,1995.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,35.80,
SURVEY,1994.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,37.60,
SURVEY,1993.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,38.20,
SURVEY,1992.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,39.30,
SURVEY,1991.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,34.30,
SURVEY,1990.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,39.50,
SURVEY,1989.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,32.70,
SURVEY,1988.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,34.10,
SURVEY,1987.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,37.70,
SURVEY,1986.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,34.40,
SURVEY,1985.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,37.50,
SURVEY,1984.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,38.80,
SURVEY,1983.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,39.40,
SURVEY,1982.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,35.50,
SURVEY,1981.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,34.50,
SURVEY,1980.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,33.50,
SURVEY,1979.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,34.20,
SURVEY,1978.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,31.40,
SURVEY,1977.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,30.70,
SURVEY,1976.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,30.30,
SURVEY,1975.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,30.60,
SURVEY,1974.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,27.30,
SURVEY,1973.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,31.60,
SURVEY,1972.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,32.70,
SURVEY,1971.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,33.90,
SURVEY,1970.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,31.00,
SURVEY,1969.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,30.60,
SURVEY,1968.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,28.40,
SURVEY,1967.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,25.80,
SURVEY,1966.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,26.30,
SURVEY,1965.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,26.50,
SURVEY,1964.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,25.80,
SURVEY,1963.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,25.20,
SURVEY,1962.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,25.00,
SURVEY,1961.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,23.90,
SURVEY,1960.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,26.10,
SURVEY,1959.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,21.60,
SURVEY,1958.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,27.50,
SURVEY,1957.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,21.80,
SURVEY,1956.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,20.20,
SURVEY,1955.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,19.80,
SURVEY,1954.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,18.10,
SURVEY,1953.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,17.30,
SURVEY,1952.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,18.40,
SURVEY,1951.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,16.00,
SURVEY,1950.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,16.50,
SURVEY,1949.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,14.50,
SURVEY,1948.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,17.90,
SURVEY,1947.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,18.20,
SURVEY,1946.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,17.20,
SURVEY,1945.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,17.00,
SURVEY,1944.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,17.70,
SURVEY,1943.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,16.40,
SURVEY,1942.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,19.50,
SURVEY,1941.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,16.80,
SURVEY,1940.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,15.30,
SURVEY,1939.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,14.10,
SURVEY,1938.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,13.30,
SURVEY,1937.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,13.60,
SURVEY,1936.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,12.80,
SURVEY,1935.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,12.20,
SURVEY,1934.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,12.10,
SURVEY,1933.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,11.20,
SURVEY,1932.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,13.10,
SURVEY,1931.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,16.30,
SURVEY,1930.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,14.20,
SURVEY,1929.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,13.00,
SURVEY,1928.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,15.40,
SURVEY,1927.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,14.70,
SURVEY,1926.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,14.70,
SURVEY,1925.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,12.80,
SURVEY,1924.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,16.00,
SURVEY,1923.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,13.30,
SURVEY,1922.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,13.80,
SURVEY,1921.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,12.70,
SURVEY,1920.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,13.50,
SURVEY,1919.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,12.90,
SURVEY,1918.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,14.80,
SURVEY,1917.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,13.20,
SURVEY,1916.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,11.90,
SURVEY,1915.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,16.70,
SURVEY,1914.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,16.10,
SURVEY,1913.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,14.40,
SURVEY,1912.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,15.10,
SURVEY,1911.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,12.40,
SURVEY,1910.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,13.70,
SURVEY,1909.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,15.50,
SURVEY,1908.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,14.30,
SURVEY,1907.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,14.20,
SURVEY,1906.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,16.00,
SURVEY,1905.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,15.20,
SURVEY,1904.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,12.90,
SURVEY,1903.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,13.70,
SURVEY,1902.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,14.90,
SURVEY,1901.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,15.00,
SURVEY,1900.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,12.20,
SURVEY,1899.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,12.50,
SURVEY,1898.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,15.20,
SURVEY,1897.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,14.00,
SURVEY,1896.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,12.80,
SURVEY,1895.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,13.90,
SURVEY,1894.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,13.50,
SURVEY,1893.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,12.40,
SURVEY,1892.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,14.20,
SURVEY,1891.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,16.50,
SURVEY,1890.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,12.20,
SURVEY,1889.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,14.00,
SURVEY,1888.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,12.10,
SURVEY,1887.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,13.30,
SURVEY,1886.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,14.10,
SURVEY,1885.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,11.40,
SURVEY,1884.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,14.80,
SURVEY,1883.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,12.30,
SURVEY,1882.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,15.10,
SURVEY,1881.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,11.00,
SURVEY,1880.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,13.20,
SURVEY,1879.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,13.00,
SURVEY,1878.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,13.50,
SURVEY,1877.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,14.10,
SURVEY,1876.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,10.90,
SURVEY,1875.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,11.10,
SURVEY,1874.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,13.00,
SURVEY,1873.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,12.90,
SURVEY,1872.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,11.80,
SURVEY,1871.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,12.20,
SURVEY,1870.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,12.10,
SURVEY,1869.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,13.70,
SURVEY,1868.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,12.90,
SURVEY,1867.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,12.60,
SURVEY,1866.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,11.00,
