"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","POTATOES - YIELD, MEASURED IN CWT / ACRE  -  <b>VALUE</b>","POTATOES - YIELD, MEASURED IN CWT / ACRE  -  <b>CV (%)</b>"
"SURVEY","2022","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","438",""
"SURVEY","2021","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","444",""
"SURVEY","2020","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","461",""
"SURVEY","2019","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","453",""
"SURVEY","2018","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","443",""
"SURVEY","2017","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","432",""
"SURVEY","2016","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","434",""
"SURVEY","2015","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","419",""
"SURVEY","2014","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","421",""
"SURVEY","2013","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","413",""
"SURVEY","2012","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","408",""
"SURVEY","2011","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","399",""
"SURVEY","2010","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","401",""
"SURVEY","2009","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","414",""
"SURVEY","2008","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","396",""
"SURVEY","2007","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","396",""
"SURVEY","2006","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","393",""
"SURVEY","2005","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","390",""
"SURVEY","2004","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","391",""
"SURVEY","2003","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","367",""
"SURVEY","2002","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","362",""
"SURVEY","2001","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","358",""
"SURVEY","2000","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","381",""
"SURVEY","1999","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","359",""
"SURVEY","1998","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","343",""
"SURVEY","1997","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","345",""
"SURVEY","1996","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","350",""
"SURVEY","1995","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","323",""
"SURVEY","1994","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","339",""
"SURVEY","1993","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","326",""
"SURVEY","1992","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","323",""
"SURVEY","1991","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","304",""
"SURVEY","1990","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","293",""
"SURVEY","1989","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","289",""
"SURVEY","1988","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","283",""
"SURVEY","1987","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","301",""
"SURVEY","1986","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","296",""
"SURVEY","1985","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","299",""
"SURVEY","1984","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","279",""
"SURVEY","1983","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","269",""
"SURVEY","1982","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","280",""
"SURVEY","1981","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","276",""
"SURVEY","1980","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","265",""
"SURVEY","1979","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","272",""
"SURVEY","1978","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","267",""
"SURVEY","1977","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","261",""
"SURVEY","1976","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","261",""
"SURVEY","1975","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","256",""
"SURVEY","1974","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","246",""
"SURVEY","1973","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","230",""
"SURVEY","1972","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","236",""
"SURVEY","1971","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","230",""
"SURVEY","1970","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","229",""
"SURVEY","1969","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","221",""
"SURVEY","1968","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","214",""
"SURVEY","1967","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","209",""
"SURVEY","1966","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","210",""
"SURVEY","1965","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","210",""
"SURVEY","1964","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","190",""
"SURVEY","1963","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","205",""
"SURVEY","1962","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","197",""
"SURVEY","1961","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","198",""
"SURVEY","1960","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","185",""
"SURVEY","1959","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","184",""
"SURVEY","1958","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","187",""
"SURVEY","1957","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","178",""
"SURVEY","1956","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","179",""
"SURVEY","1955","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","162",""
"SURVEY","1954","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","155",""
"SURVEY","1953","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","151",""
"SURVEY","1952","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","151",""
"SURVEY","1951","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","145",""
"SURVEY","1950","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","153",""
"SURVEY","1949","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","137.3",""
"SURVEY","1948","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","136.3",""
"SURVEY","1947","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","116.6",""
"SURVEY","1946","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","115.7",""
"SURVEY","1945","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","94.4",""
"SURVEY","1944","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","82.9",""
"SURVEY","1943","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","85",""
"SURVEY","1942","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","82.9",""
"SURVEY","1941","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","79.3",""
"SURVEY","1940","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","79.9",""
"SURVEY","1939","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","73",""
"SURVEY","1938","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","74.4",""
"SURVEY","1937","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","73.9",""
"SURVEY","1936","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","65.6",""
"SURVEY","1935","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","65.5",""
"SURVEY","1934","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","67.7",""
"SURVEY","1933","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","60.2",""
"SURVEY","1932","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","63",""
"SURVEY","1931","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","66.1",""
"SURVEY","1930","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","65.7",""
"SURVEY","1929","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","66",""
"SURVEY","1928","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","73.3",""
"SURVEY","1927","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","69.7",""
"SURVEY","1926","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","68.6",""
"SURVEY","1925","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","63.3",""
"SURVEY","1924","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","74.2",""
"SURVEY","1923","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","65.1",""
"SURVEY","1922","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","63.9",""
"SURVEY","1921","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","54.2",""
"SURVEY","1920","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","67.1",""
"SURVEY","1919","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","54.1",""
"SURVEY","1918","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","57.7",""
"SURVEY","1917","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","62.9",""
"SURVEY","1916","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","49.6",""
"SURVEY","1915","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","58.9",""
"SURVEY","1914","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","64.7",""
"SURVEY","1913","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","57.4",""
"SURVEY","1912","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","69.5",""
"SURVEY","1911","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","51.4",""
"SURVEY","1910","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","56.3",""
"SURVEY","1909","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","63.7",""
"SURVEY","1908","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","53.6",""
"SURVEY","1907","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","59.9",""
"SURVEY","1906","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","62.9",""
"SURVEY","1905","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","55.3",""
"SURVEY","1904","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","65.3",""
"SURVEY","1903","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","53.8",""
"SURVEY","1902","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","57.8",""
"SURVEY","1901","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","42.2",""
"SURVEY","1900","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","52",""
"SURVEY","1899","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","55.6",""
"SURVEY","1898","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","50.1",""
"SURVEY","1897","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","42.3",""
"SURVEY","1896","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","53.1",""
"SURVEY","1895","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","58.7",""
"SURVEY","1894","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","41.3",""
"SURVEY","1893","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","46.9",""
"SURVEY","1892","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","45.3",""
"SURVEY","1891","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","60.1",""
"SURVEY","1890","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","39.9",""
"SURVEY","1889","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","50.2",""
"SURVEY","1888","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","55.2",""
"SURVEY","1887","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","38.8",""
"SURVEY","1886","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","48.9",""
"SURVEY","1885","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","50.6",""
"SURVEY","1884","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","54.1",""
"SURVEY","1883","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","57.4",""
"SURVEY","1882","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","53.4",""
"SURVEY","1881","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","37.6",""
"SURVEY","1880","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","50.3",""
"SURVEY","1879","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","51.8",""
"SURVEY","1878","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","45.8",""
"SURVEY","1877","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","55.5",""
"SURVEY","1876","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","41.3",""
"SURVEY","1875","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","60.3",""
"SURVEY","1874","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","47.6",""
"SURVEY","1873","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","50.3",""
"SURVEY","1872","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","51.4",""
"SURVEY","1871","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","54.1",""
"SURVEY","1870","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","44.9",""
"SURVEY","1869","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","58.7",""
"SURVEY","1868","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","51.5",""
"SURVEY","1867","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","46.4",""
"SURVEY","1866","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","POTATOES","TOTAL","NOT SPECIFIED","54.7",""
